text,true_label,predicted_label,prediction_confidence,match_count,total_score,pos_votes,neg_votes,neu_votes,invalid_votes,matched_terms
"吃過新航跟長榮的龍蝦,認真覺得新航的好吃非常多,下次搭要記得網路選餐",positive,positive,1.0,5,1.854282,13,0,3,0,認真 | 覺得 | 好吃 | 非常 | 記得
天啊!!你們倆也太可愛了吧!雪寶近照很逼真耶毛茸茸的!!!Ian最後太可愛了!,positive,positive,1.0,5,1.535238,3,1,5,0,可愛 | 近照 | 逼真 | 最後 | 可愛
我覺得超棒啊!!!,positive,positive,1.0,2,0.623392,2,0,0,0,覺得 | 超棒
亂丟垃圾的人 真的很母湯,negative,negative,1.0,1,-0.4125,0,1,0,0,亂丟垃圾
喜歡這系列!!!沒這多時間去旅行的小確幸,positive,positive,1.0,2,0.930061,2,0,0,0,喜歡 | 時間
真的都是大景~,positive,positive,1.0,1,0.05,1,0,0,0,都是
歡迎歸國,positive,positive,1.0,1,0.475,1,0,0,0,歡迎
"在日本留學生活跟進入日本職場工作完全不一樣。在職場遇到的日本人會把你對他們的幻想破滅機率很高,留學生是在日本生活裡最美好的時期。",neutral,positive,1.0,8,1.010118,8,3,7,0,跟進 | 完全 | 不一樣 | 遇到 | 幻想 | 破滅 | 機率很高 | 美好
是安爺,neutral,neutral,0.0,0,0.0,0,0,0,0,
版主 您好! 真是可愛、漂亮的(好狗)! 感謝妳!,positive,positive,1.0,3,1.161845,3,0,0,0,可愛 | 漂亮 | 感謝
好嗨!,positive,neutral,0.0,0,0.0,0,0,0,0,
Lena差點要開始講台語 哈哈,neutral,positive,0.777778,3,0.188413,2,0,7,0,差點 | 開始 | 哈哈
那位房產中介的資料很多不正確,negative,neutral,0.5,2,-0.025598,1,1,0,0,很多 | 不正確
"這間住宿又貴又爛又髒!房間沒熱水,老闆叫我們去他的公廁洗,公廁還飄大便,這網紅說的溫泉更不用說了,超級髒浮游生物一堆,是看著這個yt才去的,真的是踩雷踩到爆炸! 洗澡水洗出來都是臭的~",negative,negative,0.666667,6,-0.080636,4,2,0,0,大便 | 不用 | 超級 | 真的是 | 爆炸 | 都是
"很多人分不清政權,國家,民族人民..西方媒體長期醜化特定政權..把國家民族一起黑了...最無辜的永遠是一般人民..",negative,positive,0.989631,7,0.989631,6,4,0,0,很多 | 不清 | 長期 | 醜化 | 特定 | 無辜 | 永遠
恭喜!,positive,positive,1.0,1,0.65,1,0,0,0,恭喜
恭喜兩位~ 太可愛了~~~,positive,positive,1.0,2,1.311129,2,0,0,0,恭喜 | 可愛
荷蘭自殺率憂鬱症也是最高的..,negative,negative,0.5,4,-0.462756,2,2,0,0,自殺 | 憂鬱 | 也是 | 最高
楊楊 妳好呀! 這部短影音、一開頭的”大黃狗”真可愛! 抱歉、不好意思! 請問 牠是: 1長毛狗呀! 2.牠是在台灣的浪浪收容所嗎! 感謝您的辛勞&解答,positive,positive,1.0,7,1.144297,6,2,5,0,開頭 | 可愛 | 抱歉 | 不好意思 | 感謝 | 辛勞 | 解答
內容不錯'但胡志明是毛澤東不是偉大的孫中山國父'請不要誤解.,neutral,negative,0.625,5,-0.460415,5,3,0,0,不錯 | 不是 | 偉大 | 不要 | 誤解
好i的求婚,neutral,neutral,0.0,0,0.0,0,0,0,0,
終於有人出來說公道話了,neutral,positive,0.833333,2,0.502391,5,0,1,0,終於 | 公道
真的 瑞士真的好美 讓人安心玩,positive,positive,1.0,1,0.752245,5,0,0,0,安心
"印象超深刻「環保&和不環保的一天系列」,敘事方式和運鏡手法都讓人驚艷喜愛!非常有台客獨特風格 那時上課講到環保議題,都有放你的影片教學,相信這個影響力多少有讓下一代埋下愛地球的種子 未來不論導演何去何從,請記得還是有默默支持的潛水客,家人還是第一,小孩成長只有一次,加油",positive,positive,1.0,19,2.585551,20,4,11,0,深刻 | 驚艷 | 喜愛 | 非常 | 獨特 | 都有 | 相信 | 影響 | 埋下 | 不論 | 記得 | 還是 | 默默 | 支持 | 還是 | 第一 | 成長 | 只有 | 加油
騙人我不相信啦!,negative,negative,1.0,2,-0.394836,0,2,0,0,騙人 | 不相信
"看那麼多360的剪輯教學,Celine講得最淺顯易懂又仔細,非常感謝妳這麼辛苦又用心的講解~",positive,positive,1.0,6,1.270666,11,0,2,0,淺顯 | 易懂 | 仔細 | 非常感謝 | 辛苦 | 用心
"雖然不討厭J,但是確實也出現太多次了.....",negative,positive,0.666667,3,0.606005,2,1,0,0,討厭 | 確實 | 出現
"3m無痕真的,超不推薦",negative,positive,1.0,1,0.019754,5,0,0,0,推薦
頭等艙最先登機,neutral,positive,1.0,1,0.192598,1,0,0,0,最先
畫面調整中一直感覺是廣告~很不舒胡,negative,positive,1.0,4,1.176568,3,0,4,0,調整 | 一直 | 感覺 | 廣告
哇!!恭喜你們~~ 也算追了7~8年了 應該是我第一個看的素食YT CP ... 不過還是覺得洋很奸詐欸 先拿親朋好友出來祝福 就已經破梗 也沒有拒絕的餘地了 祝福你們,positive,positive,1.0,15,1.244478,9,7,13,0,恭喜 | 應該是 | 第一個 | 素食 | 不過 | 還是 | 覺得 | 奸詐 | 親朋 | 祝福 | 已經 | 也沒有 | 拒絕 | 餘地 | 祝福
嗚嗚嗚嗚嗚嗚為什麼要分兩集啊啊啊啊啊啊啊啊啊,neutral,neutral,0.0,0,0.0,0,0,0,0,
"也太太太太漂亮了吧!謝謝Lena & Patrick夫妻帶我們去玩,非常感動.Lena天生擁有超強運動細胞,超猛的.",positive,positive,1.0,7,1.222153,20,0,2,0,漂亮 | 謝謝 | 非常 | 感動 | 擁有 | 超強 | 超猛
"楊楊人美又很有愛心,真是人人的好榜樣~",positive,positive,1.0,1,0.675506,1,0,0,0,有愛心
白白淨淨的皮膚搭配穿粉色衣服應該更美麗,positive,positive,0.6875,6,0.259105,4,1,11,0,白白 | 皮膚 | 搭配 | 衣服 | 應該 | 更美
恭喜恭喜恭喜,positive,positive,1.0,3,1.95,3,0,0,0,恭喜 | 恭喜 | 恭喜
2800還是空的 好誇張 詐騙集團欸,negative,negative,0.5,2,-0.230246,1,1,0,0,還是 | 誇張
評審壓力山大~~~哈哈\,neutral,negative,0.5,2,-0.054114,1,1,0,0,壓力 | 哈哈
"幸好個人對Thread從開始就沒興趣不喜歡,現在更感覺當初的選擇是對的",neutral,positive,1.0,6,1.564678,6,1,8,0,幸好 | 開始 | 興趣 | 不喜歡 | 感覺 | 選擇
"小屁孩打字不要一堆標點符號,看了很賭爛",negative,negative,0.833333,2,-0.368708,0,1,5,0,不要 | 標點
喵喵真的超可愛,positive,positive,1.0,1,0.661129,1,0,0,0,可愛
"你可以的,不管你怎麼樣我們都支持你",positive,negative,0.5,3,-0.401533,3,1,2,0,可以 | 不管 | 支持
恭喜,positive,positive,1.0,1,0.65,1,0,0,0,恭喜
真的 每次 “欸”的影片 我都在外面又哭又笑 尤其是有一次吃飯 看恩妃被求婚 我真的被別人一直關注禮,neutral,positive,0.545455,5,0.415624,6,0,5,0,都在 | 尤其是 | 吃飯 | 一直 | 關注
"你的影片好有溫度。謝謝你的影片與分享,讓觀眾看到你最真實的想法",positive,positive,1.0,6,1.166162,9,0,14,0,溫度 | 謝謝 | 分享 | 觀眾 | 看到 | 真實
就愛聊天的小夥伴~,positive,positive,0.8,1,0.1,1,0,4,0,夥伴
"恭喜馬上就要轉換身份,變小象媽媽了,一切會順利的",positive,positive,1.0,4,0.819565,4,0,0,0,恭喜 | 馬上 | 轉換 | 順利
"去年也是看到貓咪躺在大馬路上,男友緊急回頭找發現貓咪已經走了,男友就下車先幫他移到旁邊,那時突然覺得平常怕鬼怕髒螂的他好勇敢",neutral,positive,0.967653,10,0.967653,9,2,13,0,也是 | 看到 | 馬路 | 緊急 | 發現 | 已經 | 幫他 | 突然 | 覺得 | 勇敢
水上飛機好酷 就真的在水上就飛起來了ㄟ 我好像鄉下來的 台灣好像都沒有水上飛機可以搭QQ,positive,positive,0.979094,5,0.979094,4,1,4,2,好像 | 來的 | 好像 | 都沒有 | 可以
美麗的女神,positive,positive,1.0,1,0.616044,1,0,0,0,美麗
已點讚,positive,neutral,0.0,0,0.0,0,0,0,0,
祝一切順利平安!,positive,positive,1.0,2,0.809098,2,0,0,0,順利 | 平安
那個感恩日記是你們寫的嗎?,neutral,positive,1.0,1,0.580956,1,0,0,0,感恩
"之前都不知道胡志明有什麼好玩的,看了這個影片感覺好有趣哦~希望有下一期,把所有攻略mark起來!",positive,positive,1.0,6,1.769135,5,1,3,0,不知道 | 好玩 | 感覺 | 有趣 | 希望 | 所有
"@HuangJarry 就年費22000那張鼎尊無限卡阿_x000D_ 幾點勸退建議:_x000D_ 1.不常搭華航_x000D_ 2.每年消費不高_x000D_ 3.注重里程回饋高於其他回饋_x000D_ _x000D_ 消費不高真的不需要辦這張,繳22000的年費還不如直接拿去買機票._x000D_ _x000D_ 機場接送之前是8次現在是6次,但使用條件是1個月內2萬""或""3個月10萬""或""一年60萬_x000D_ _x000D_ 貴賓室也是同樣的使用條件,頂多加一個搭華航不管什麼艙什麼票價都可以用外.老實說,貴賓室這項除了你轉機長一點外,其他時候沒啥用.你搭商務艙本身就會附,至於其他...掐點搭飛機不愉快嗎.那麼早進禁區幹嘛,市區,機場mall,或是自家不比貴賓室爽~_x000D_ _x000D_ 里程的話,華航里程就是很好換,這點很重要,因為其他里程雖然CP值很高,但是因為各家航空公司都是給自己里程計畫兌換的位子最多,給聯盟航空機位很少.ANA更絕,給自己的位置也不多._x000D_ _x000D_ 但是但是但是....如果你是一個人旅行,然後又是可以在六個月前甚至一年前就排好行程,那就不值得去辦那張中信華航頂尊或是國泰長榮頂尊了.去買Avianca, Alaska里程直接換一換就好了. 或是中信ANA累計ANA里程換1年後的票也是划算",negative,positive,1.0,38,4.022334,35,10,20,0,無限 | 建議 | 不高 | 注重 | 回饋 | 高於 | 回饋 | 不高 | 不需要 | 還不如 | 直接 | 使用 | 也是 | 同樣 | 使用 | 不管 | 都可以 | 老實 | 轉機 | 就會 | 不愉快 | 很好 | 很重要 | 很高 | 都是 | 自己 | 計畫 | 最多 | 很少 | 自己 | 也不 | 又是 | 可以 | 甚至 | 不值得 | 直接 | 也是 | 划算
"很棒的內容,減塑救地球",positive,positive,1.0,1,0.055061,1,0,0,0,很棒
"您好,可以提供越南地陪的聯絡方式嗎?感謝",neutral,positive,0.714286,4,0.648786,5,0,2,0,可以 | 提供 | 聯絡 | 感謝
哈哈哈真的是全身運動,neutral,positive,1.0,2,0.310882,2,0,0,0,哈哈 | 真的是
好特別耶,positive,positive,0.5,1,0.313786,2,0,2,0,特別
21:05 、 21:07 縮圖上的奇妙表情,neutral,positive,1.0,1,0.616026,1,0,0,0,奇妙
今天廣告特別多,positive,positive,0.75,2,0.313786,2,0,6,0,廣告 | 特別
12:25 相機:我在聚焦炸雞,neutral,neutral,1.0,1,0.0,0,0,4,0,相機
導演加油 我愛你,positive,positive,1.0,1,0.012537,1,0,0,0,加油
"房間的菸味,無解!飯店人員告訴你不可吸菸不准吸菸,有用嗎?禁止亂丟垃圾/禁止闖越馬路/禁止balabala.. Does it work?南台灣比較沒水準的比率高,無解啊!",negative,negative,1.0,10,-1.876628,7,8,7,0,告訴 | 不可 | 不准 | 有用 | 禁止 | 亂丟垃圾 | 禁止 | 馬路 | 禁止 | 沒水準
@bgming87已檢舉,neutral,negative,1.0,1,-0.071019,0,1,0,0,檢舉
哈哈哈哈哈還跟小當家喊話 太好笑了,neutral,positive,1.0,4,0.74055,4,0,0,0,哈哈 | 哈哈 | 當家 | 太好
看完鼻酸是正常的吧,neutral,positive,1.0,1,0.498811,1,0,0,0,正常
宣宣要保護好自己喔!是感冒了嘛?也要給自己安排休息的時間呀,positive,positive,0.728183,7,0.728183,6,1,12,0,保護 | 自己 | 感冒 | 自己 | 安排 | 休息 | 時間
"超喜欢这个组合!颜值高到夸张。Celine真的是最幸福的人了,有人帮忙开车煮饭拍美照。这集风景真的是美到爆炸!好疯狂青春洋溢又自由的灵魂好美。",positive,positive,1.0,6,1.331397,6,0,0,0,真的是 | 幸福 | 真的是 | 爆炸 | 洋溢 | 自由
@許陪 我小時候跟家人移民溫哥華現在台灣跟加拿大兩邊跑!旅遊的還會做喔!謝謝你的支持也謝謝你關心流浪動物!我們一起加油,positive,positive,1.0,8,1.088232,19,1,5,0,小時 | 還會 | 謝謝 | 支持 | 謝謝 | 關心 | 流浪 | 加油
"8.9年前垃圾議題就開始追蹤了 影片拍得很棒請持續散發溫度,影片有很深的溫度感!",positive,positive,0.833333,7,0.104348,3,1,20,0,垃圾 | 開始 | 追蹤 | 很棒 | 持續 | 溫度 | 溫度
我家貓也叫喵喵,neutral,neutral,0.0,0,0.0,0,0,0,0,
他的互動真的是ai控制還是有人操控呢,neutral,positive,0.625,5,0.621986,5,0,3,0,互動 | 真的是 | 控制 | 還是 | 操控
所以說是薄皮炸雞嗎哈哈哈哈哈,neutral,positive,1.0,2,0.14436,2,0,0,0,哈哈 | 哈哈
真的好好笑,neutral,positive,1.0,1,0.0,1,0,0,0,好笑
老哥 有些事只有一次比如孩子的長大 我覺得沒有一個選擇是不好的選擇 頻道的話 我覺得就算轉型偶爾直播(比較低成本的)說說想法跟一些觀察 可能很多人還是可以受惠的,positive,positive,1.0,19,1.83951,16,2,30,0,有些 | 只有 | 長大 | 覺得 | 沒有 | 選擇 | 不好 | 選擇 | 覺得 | 轉型 | 比較低 | 成本 | 說說 | 觀察 | 可能 | 很多 | 還是 | 可以 | 受惠
"不喜歡可以滑過,當然也能提出意見,但很多已經是帶著惡意了,我們外人不是他們團隊,她也只是在工作,也許是老闆指定要個搭檔才不會這麼尬,這些我們外人不知的,少點惡意會比較好Love and Peace",negative,negative,0.392857,17,-0.128406,10,7,11,0,不喜歡 | 可以 | 當然 | 也能 | 提出 | 很多 | 已經 | 惡意 | 不是 | 只是 | 也許 | 指定 | 不會 | 尬 | 不知 | 惡意 | 比較好
bang bang 我聽3次才聽出來....,neutral,neutral,0.0,0,0.0,0,0,0,0,
讚,positive,neutral,0.0,0,0.0,0,0,0,0,
要看妳介绍 蚬港,neutral,neutral,0.0,0,0.0,0,0,0,0,
不想去了,negative,negative,1.0,1,-0.204356,0,1,0,0,不想
太好了 希望有大大幫助你的使用! 不過預錄的功能我沒有使用過,positive,positive,1.0,7,1.044478,6,0,5,0,太好了 | 希望 | 幫助 | 使用 | 不過 | 沒有 | 使用
omg that looks fun !!!,positive,neutral,0.0,0,0.0,0,0,0,0,
還好我沒有加,neutral,positive,1.0,2,0.2505,2,0,0,0,還好 | 沒有
"我在想垃圾桶能多一點應該會減少亂丟垃圾的情況,對於清潔人員也會比較省心力",negative,positive,0.714286,7,0.620068,5,2,0,0,垃圾 | 多一點 | 應該會 | 減少 | 亂丟垃圾 | 清潔 | 也會
3rd 街也很不安全,negative,negative,1.0,1,-0.210743,0,1,0,0,不安全
無恥的一群人,negative,negative,1.0,1,-0.290544,0,1,0,0,無恥
Luke 同學怎麼有點貌似金宣虎,positive,neutral,0.0,0,0.0,0,0,0,0,
這一集超好笑 好喜歡,positive,positive,1.0,2,1.299214,2,0,0,0,超好 | 喜歡
感謝分享,positive,positive,1.0,2,0.497656,2,0,0,0,感謝 | 分享
Yes!Eric!,positive,neutral,0.0,0,0.0,0,0,0,0,
好可愛的團隊 大家都好正喔,positive,positive,1.0,1,0.661129,1,0,0,0,可愛
這影片到底要多用心才能製作出來太厲害了,positive,positive,1.0,3,1.131781,3,0,0,0,用心 | 才能 | 厲害
謝謝你,positive,positive,1.0,1,0.297482,6,0,0,0,謝謝
有空一定常來!,positive,positive,1.0,1,0.273179,1,0,0,0,一定
"原來是700,我想說怎麼可能7000?快跟聖母峰一樣高了",neutral,positive,0.833333,3,0.054001,2,0,10,0,原來 | 可能 | 一樣
"立方也太好笑吧,連Alan 都能說到她阿嬤",positive,positive,0.714286,3,0.587677,2,0,5,0,太好 | 都能 | 阿嬤
@celineswaytravel非常期待,positive,positive,1.0,2,0.078872,2,0,0,0,非常 | 期待
先留言,positive,neutral,0.0,0,0.0,0,0,0,0,
加油。媽祖會保佑妳的,positive,positive,1.0,2,0.155135,2,0,0,0,加油 | 保佑
適合沒有換飯店,neutral,positive,1.0,2,0.682813,2,0,0,0,適合 | 沒有
ig一直刷惡意評論看了好難過 她又沒有做錯任何事不然你不要看啊???每個人都是團隊很重要的一部分!!,positive,negative,1.0,9,-1.478993,4,7,1,0,一直 | 惡意 | 難過 | 沒有 | 做錯 | 不然 | 不要 | 都是 | 很重要
@elephantgogo 世界卡刷到的嗎 好厲害啊,neutral,positive,1.0,1,0.0,1,0,0,0,厲害
女神越來越美麗了喔,positive,positive,1.0,1,0.616044,1,0,0,0,美麗
剪輯很舒服很喜歡這種風格 也謝謝介紹我們導遊的資訊 越南還是需要導遊 有的地方價格真的太高,positive,positive,1.0,6,1.570775,11,0,0,0,舒服 | 很喜歡 | 謝謝 | 介紹 | 還是需要 | 太高
"薪資高相對物價也會高吧?而且這種高福利的國家稅收相對都課起碼4、50%。 有一好沒兩好,除了中東油國外,其他國家不可能薪水高、低物價低課稅又一堆福利。",neutral,positive,0.751032,7,0.751032,3,4,0,0,相對 | 也會 | 福利 | 相對 | 不可能 | 課稅 | 福利
"推薦天然絲瓜的菜瓜布。然後我還是不信任矽膠,所以還是會用不鏽鋼或玻璃碗",neutral,positive,0.692308,5,0.612194,9,1,3,0,推薦 | 天然 | 還是 | 不信任 | 還是
一個充滿朝高能量的城市 不論男女老少他們好強,positive,negative,0.6,4,-0.068887,2,2,6,0,充滿 | 不論 | 男女 | 好強
滿地垃圾。,negative,negative,0.8,2,-0.1,0,1,4,0,滿地 | 垃圾
"導演請繼續拍影片,看著看著就流淚了",positive,negative,0.5,2,-0.364072,1,1,0,0,繼續 | 流淚
謝謝你的祝福,positive,positive,1.0,2,0.547482,7,0,0,0,謝謝 | 祝福
我也住這裡!,positive,neutral,0.0,0,0.0,0,0,0,0,
真的好芭比娃娃唷~美呆了~,positive,neutral,0.0,0,0.0,0,0,0,0,
"怎麼越來越難看了,唉 喜歡以前自然好笑的風格 現在都好刻意的感覺, 但還是喜歡 崇 粉紅 a 肚子 還有詹",negative,positive,1.0,9,2.551585,8,1,0,0,越來越難 | 喜歡 | 自然 | 好笑 | 刻意 | 感覺 | 還是 | 喜歡 | 還有
亂七八糟,negative,negative,1.0,1,-0.5625,0,1,0,0,亂七八糟
Love your channel and your personality,positive,neutral,0.0,0,0.0,0,0,0,0,
HIYA YOU!,neutral,neutral,0.0,0,0.0,0,0,0,0,
我做減塑 環保已經20年了 看到這個國家這個社會也沒有什麼改變 問題也是越來越嚴重 垃圾車也沒在檢查了 以前還有輔導人員跟在旁邊教育分類 後來也沒了 我看電視還有垃圾車人員被揍 台灣的地就這麼大 你不減塑減垃圾問題越來越大 以前聽李敖曾經說過跟中國好好打好關係他們的地那麼多 把垃圾整理好全部往哪放我覺得也有道理 只是這條路也不行了要準備打仗了,negative,positive,0.386364,28,0.213242,15,12,17,0,已經 | 看到 | 也沒有 | 改變 | 問題 | 也是 | 越來越嚴重 | 垃圾 | 沒在 | 檢查 | 還有 | 輔導 | 沒了 | 電視 | 還有 | 垃圾 | 垃圾 | 問題 | 越來越大 | 垃圾 | 全部 | 覺得 | 也有 | 道理 | 只是 | 也不 | 準備 | 打仗
放闪好甜!!!!!!!!,positive,neutral,0.0,0,0.0,0,0,0,0,
要幸福喔~ 謝謝你們的分享,positive,positive,1.0,3,0.815441,8,0,0,0,幸福 | 謝謝 | 分享
"真的很不容易,還好日本與台灣很近,簽證等待時間一到就可以再到日本,所以其實也不用太久,讓小孩好好學習,也是為了他們好",neutral,positive,1.0,11,1.694369,8,3,0,0,不容易 | 還好 | 等待 | 時間 | 就可以 | 其實 | 也不 | 太久 | 好學 | 也是 | 為了
"Minor correction. The Jesus statue in Rio is on top of Summit of Mount Corcovado, which is 700 meters in elevation, not 7000 meters mentioned in the video.",neutral,neutral,0.0,0,0.0,0,0,0,0,
日常vlog也好看,positive,positive,1.0,1,0.342686,4,0,0,0,好看
留言好誇張 J的觀眾緣為啥會這麼差 沒看留言其實我是完全沒感覺的 她在這堂課的幫助看起來也挺正面的 這部也沒感覺到她很吵什麼的 但留言說得好嚴重,neutral,positive,1.0,11,1.011518,8,4,7,0,誇張 | 觀眾 | 這麼差 | 其實 | 完全沒 | 感覺 | 幫助 | 正面 | 感覺 | 說得好 | 嚴重
人類欠它們太多了⋯⋯,positive,neutral,0.0,0,0.0,0,0,0,0,
"帛琉很無聊夜市,是每個月的第二跟第四個星期六",negative,negative,1.0,1,-0.167959,0,1,0,0,無聊
Where do you get your headband at 11:05,neutral,neutral,0.0,0,0.0,0,0,0,0,
"這真的是非不得已的,影片中也說不建議了,花了那麼多時間成本和風險給我們看到禁止臺灣人入境的國家的人文風景,還是值得讚揚的,這方法對我們來說除了去這個禁臺灣護照的地方之外,也沒有人會無聊去嘗試(好像也就只有喬治亞和摩爾多瓦了)不過現在這種時候就算是辦旅遊證,還是會引人反感的",negative,neutral,0.425,20,0.000125,11,10,17,2,真的是 | 不得已 | 不建 | 時間 | 成本 | 風險 | 看到 | 禁止 | 還是 | 值得讚揚 | 了去 | 也沒有 | 無聊 | 嘗試 | 好像 | 只有 | 不過 | 算是 | 還是 | 反感
你笑起來真難看(重音)!XD 是想要多強調啊?XDDD,negative,positive,0.4,3,0.370575,2,4,4,0,難看 | 想要 | 強調
"去旅行可以,那邊太無聊了",negative,neutral,0.4,2,-0.012779,2,1,2,0,可以 | 無聊
想請教rose spa那間是可以用什麼方式預約的,positive,positive,0.6,3,0.259252,4,0,6,0,請教 | 可以 | 預約
"哇, 真的浮潛又超近距離的超感體驗!!! 20萬真的超級貴, 但大概也是付費參與保護的一種概念吧. 不然, 一群人湧入來看鯨魚, 在地沒有嚴格規範, 可能今天是看不到這些情景了.",negative,positive,0.5,12,-0.011741,14,2,12,0,超級 | 大概 | 也是 | 參與 | 保護 | 不然 | 湧入 | 沒有 | 嚴格 | 規範 | 可能 | 看不到
真的!,positive,neutral,0.0,0,0.0,0,0,0,0,
"吃饭时间打开YouTube,故意避开前一集,因为cover里面有J。。。想着这集cover只有Ian就打开了,结果hmmmmmm,好吧。",negative,neutral,0.428571,2,0.0,2,2,3,0,故意 | 只有
這系列可以多一點嗎 太好看了,positive,positive,0.666667,3,0.565139,4,0,2,0,可以 | 多一點 | 太好
算命純騙人的啦,negative,negative,1.0,1,-0.271914,0,1,0,0,騙人
"封面要馬一開始就讓觀眾知道有兩個人, 要馬一個人的話就跳脫舒適圈自己主持誒Ian",negative,positive,1.0,7,1.292053,5,0,12,0,一開始 | 觀眾 | 知道 | 跳脫 | 舒適 | 自己 | 主持
愛開心唷,positive,positive,1.0,1,0.434168,1,0,0,0,開心
"@mingyuan724 太好了!希望在這樣充滿溫暖與祝福的節日,能夠將幸福帶給大家 也祝福您一輩子平安、幸福、順心",positive,positive,1.0,11,4.246825,13,0,2,0,太好了 | 希望 | 充滿 | 溫暖 | 祝福 | 能夠 | 幸福 | 帶給 | 祝福 | 平安 | 幸福
覺得不錯的日常啊,positive,positive,1.0,2,1.31727,5,0,0,0,覺得 | 不錯
剛剛看封面 我還以為是弦,neutral,positive,1.0,1,0.035542,1,0,0,0,以為
超級療癒的希望之後還會有跟喵喵先生的可愛互動,positive,positive,1.0,5,1.4181,5,0,0,0,超級 | 希望 | 還會有 | 可愛 | 互動
"各取所需阿,d是靠倉儲賺錢,Eric是靠拍片賺錢,倉儲有沒有賺錢其實不是重點",negative,positive,0.55,8,0.064243,11,1,8,0,各取所需 | 賺錢 | 賺錢 | 沒有 | 賺錢 | 其實 | 不是 | 重點
"4分03秒的那個不是sting ray ,應該是eagle ray ,雪花鴨嘴燕魟,不容易看到,你們在馬爾地夫的渡假島走在木棧板上時也遇到過 T.T",neutral,negative,0.668695,5,-0.668695,3,2,7,0,不是 | 應該是 | 不容易 | 看到 | 遇到
"lowson舒肥肉是最好吃的,但咖啡是最難喝的,九州看到好幾間咖啡機上裝咖啡豆的盒子幾百年沒清理黏呼呼",neutral,positive,0.726295,5,0.726295,3,2,4,0,肥肉 | 最好 | 最難 | 看到 | 清理
這些網友真的是住海邊欸 人家吃相也要管 對男友態度也要管 真的很無聊欸 我是覺得每個人都有個人特色啦 所以 做原來的小象就好,negative,positive,1.0,6,1.098013,4,1,4,0,真的是 | 無聊 | 覺得 | 都有 | 特色 | 原來
helloo im South Korea boy good to see you lady,positive,neutral,0.0,0,0.0,0,0,0,0,
是我好喜歡的台灣人的樣子,positive,positive,1.0,1,0.875,1,0,0,0,喜歡
小當家竟然在地府做菜。第一次知道,neutral,positive,0.861146,4,0.861146,3,1,3,0,當家 | 竟然 | 第一次 | 知道
"獅子魚在加勒比海屬於外來物種,以前不存在。在加勒比海沒有天敵所以已經嚴重影響到海洋生態(珊瑚生長等等),也是唯一在貝里斯海域可以水肺獵的魚~ Placencia 那間真的是整個鎮飾品做最漂亮的! 潛水如果是船宿的話其實有很漂亮的地方(會到不同的Atolls還有堡礁+非常非常多的wall diving)~ 藍洞很看天氣,下去沒什麼生物主要是看地形,先前同船宿的很多去過的人直接選擇不下洞, 在旁邊沙地找生物(但去了就覺得依定要tick the box) 覺得貝里斯人很可愛~ 可愛到我兩年內跑了三趟",neutral,positive,1.0,31,3.208558,23,6,20,0,屬於 | 外來 | 不存在 | 沒有 | 已經 | 嚴重影響 | 海洋 | 生態 | 也是 | 唯一 | 可以 | 真的是 | 最漂亮 | 其實 | 很漂亮 | 不同 | 還有 | 非常 | 非常 | 下去 | 沒什麼 | 主要是 | 很多 | 直接 | 選擇 | 不下 | 覺得 | 覺得 | 斯人 | 可愛 | 可愛
昨天不小心在臉書偷跑已經看了一次現在再看一次 互鼻開頭是喉嚨卡住嗎哈哈哈哈,positive,negative,0.692308,6,-0.071542,3,1,9,0,不小心 | 已經 | 開頭 | 卡住 | 哈哈 | 哈哈
去年跟朋友借了X5出國到處拍 拍了很多結果剪不出半支影片 後來也不敢買X5 真的好感謝celine出了一支這麼用心的教學影片 太受用了,positive,positive,0.948824,6,0.948824,4,2,0,0,很多 | 不出 | 也不 | 好感 | 用心 | 受用
"沒有業配支持,哪來資源出國呢? 我可不是一出生就含黃金的",negative,negative,0.556953,6,-0.556953,4,1,4,0,沒有 | 支持 | 資源 | 不是 | 出生 | 黃金
@wendychiang9453,positive,neutral,0.0,0,0.0,0,0,0,0,
馬上的啦 彰化人沒有在跟你浪費時間 一上片先看爆,negative,negative,0.666667,3,-0.083887,2,1,0,0,馬上 | 沒有 | 浪費時間
昨天剛考完統測 今天就看到互寶幸福,positive,positive,0.666667,2,0.494584,2,0,4,0,看到 | 幸福
"看了美萍姐姐的炒飯,才知道原來重點是蛋酥呀⋯⋯開始換炒法後,全家人都把炒飯吃光光..感謝美萍姐姐",positive,positive,1.0,5,1.214266,5,0,12,0,知道 | 原來 | 重點 | 開始 | 感謝
如果我在那個時代被治療 應該會直接暈過去,neutral,positive,0.571429,4,0.055038,4,1,2,0,治療 | 應該會 | 直接 | 過去
